logFC	logCPM	LR	PValue	FDR
ARMCX1	-1.21069971711151	2.81767303826097	14.9379817220284	0.000111103524718208	0.000644419918128922
ARMCX2	-1.16143119389592	3.76478330767531	9.99438970785252	0.00157017857738859	0.00601530641108982
ARNTL2	1.02974679489907	5.27253431085518	6.60416220215953	0.0101740662375823	0.0282669900757009
ARPC1B	1.73516233460188	7.8302855829727	29.3592174634437	6.01298274144558e-08	8.32508782068763e-07
ARRB1	-1.45721511753172	4.39088415872965	20.1333018427604	7.22280579894691e-06	5.9527433097672e-05
ARRDC4	-1.64086629690752	5.7550759573513	31.1923341874063	2.33687069725622e-08	3.54304931831424e-07
ARSD	-1.52489712559412	6.10168097008092	28.7919364320391	8.0585929083286e-08	1.08766668782071e-06
ARSI	1.78414871814792	3.57196162463515	7.26454485044388	0.00703290897095954	0.0208529532122806
ARTN	1.48188242181089	3.5391815015674	4.15038980598604	0.0416249404478169	0.0894395635985883
ASAP3	-1.63966370773748	4.69930899269154	47.8209354474577	4.66978757838368e-12	1.42090364109164e-10
ASB2	-2.40750986023053	3.16355117550369	46.8179064343993	7.78983844161675e-12	2.24144133941825e-10
ASB4	8.30575569807419	1.05849605778957	7.0554846484391	0.00790229273213224	0.0229676650422711
ASB5	-3.97633382075824	1.37146306735562	16.8367627199748	4.07364697039872e-05	0.000272584046479885
ASCL2	4.6275046736897	4.59707883330314	27.3145768182817	1.7290303599656e-07	2.18581144646654e-06
ASF1B	2.31216336817157	5.15808125114259	49.873280263882	1.64002892587168e-12	5.56600586226605e-11
ASPM	2.9315282337644	6.22003654822182	69.9254028189772	6.15901495381228e-17	4.6850989614172e-15
ASPN	1.22576709005947	4.93819791530991	5.70037464716521	0.0169612921246842	0.0430405794789725
ASS1	1.59165650690947	7.0533711775217	9.95821644449003	0.00160133112265397	0.00611341757699681
ASTN2	-1.5252077276809	2.76486763891599	13.8044656096529	0.00020285350523898	0.00107238072248344
ATAD2	1.55640570114145	6.70466926053476	33.301565387952	7.89190868805806e-09	1.32224434677388e-07
ATAD3C	1.80029986267871	1.16265986353706	10.7753389799171	0.00102861376243918	0.00420987376612399
ATAD5	2.12285263455113	4.25310142223963	57.6566684745503	3.12103073302546e-14	1.45971599937544e-12
ATHL1	1.71873506118061	5.54612828615955	13.25823174897	0.000271385517364399	0.00138045550747161
ATIC	1.06486551660272	6.3991613490485	23.6706866326243	1.14310494566163e-06	1.197004514302e-05
ATOH8	-2.82137028127468	1.87675716440409	72.4134566259373	1.74519865006808e-17	1.47130250524211e-15
ATP10A	-1.43148163643884	3.18979191906515	20.5788399651458	5.72251435869111e-06	4.86781491334419e-05
ATP10B	1.64435033003164	6.69226977799232	4.58995616582746	0.0321598367109861	0.0727112591493816
ATP11A	1.42391046218449	7.42682874992376	13.1042920907096	0.000294619986080477	0.00147935892858922
ATP13A4	-1.35840146947998	3.74408075022138	4.31908507763572	0.0376871803278272	0.082642067398794
ATP1A2	-4.17867485662452	3.32575884392552	55.6150321007048	8.81470103232425e-14	3.91514707596791e-12
ATP1A3	-1.3870912428335	2.09195429022047	6.54302884780179	0.0105295926708606	0.0290293040182276
ATP1B1	-1.02145729123717	8.9374148997543	8.87423515250464	0.00289223388200297	0.0100582258702552
ATP1B2	-2.5089028481384	1.56914009163537	69.3509668604517	8.24122124554249e-17	6.16275731107347e-15
ATP1B3	1.55201506872511	8.24764769067809	18.2806093975595	1.90637818984098e-05	0.000140182342892974
ATP2A1	1.90409550675299	0.838179053046832	14.3667449095829	0.000150435814214468	0.000835572151465674
ATP2A3	-1.23409979791557	7.457348674198	7.51972587200382	0.00610269664290995	0.0185733025443909
ATP2C2	1.14299020783782	4.97536052782439	4.43013169783342	0.0353097833146429	0.0783767050063077
ATP4A	-8.25385885340955	7.59544321622655	27.9746521805306	1.22915017891081e-07	1.59068438321805e-06
ATP4B	-8.91786823035899	6.80434075880496	29.1752152421046	6.61196132875453e-08	9.05961906287733e-07
ATP5A1	-1.07163152727862	8.44326858552454	30.9120707543086	2.69987307955399e-08	4.02880722446185e-07
ATP6V0E2	-1.26187639044713	3.99561893423914	13.4600818581417	0.000243693124642361	0.00125653377396427
ATP6V1B1	2.46991226636468	1.56952678456021	10.3093403249771	0.00132358587251607	0.0052024360265218
ATP6V1E2	1.10344749915396	1.88703178753619	10.5925944553842	0.00113541532267648	0.00457902413496217
ATP8A1	-2.09344705466181	5.08145835979724	28.6745383447582	8.56221236284336e-08	1.14938582996546e-06
ATP8B1	-1.13535840752308	7.35228539868655	15.8575545105187	6.82933581334773e-05	0.000425537848584696
ATP8B2	-1.08763791955426	5.08739433177966	12.3344152169813	0.000444683386709583	0.00209162377629284
AUH	-1.22267992706826	3.56825170021673	52.041664118096	5.43354049067764e-13	2.06069747663637e-11
AURKA	2.70688781518471	5.54430728199766	70.8775653747435	3.80095684954078e-17	2.99461100360249e-15
AURKB	3.10202039590985	4.72882741924824	56.7412954248199	4.9708636451255e-14	2.28452608357226e-12
AZGP1	-3.04562399399905	5.31115296715134	24.7499024518046	6.5272104363716e-07	7.28449893219347e-06
B2M	1.12838133589239	11.5432866677901	9.88302830298363	0.00166810178578895	0.0063173090806016
B3GAT1	-6.42464874433374	3.08403074067565	177.718795489727	1.52586817952336e-40	1.00981956120856e-37
B3GNT4	2.17867205907009	0.96146693698049	10.9301798856695	0.000946103091090108	0.00393669302535953
B3GNT5	1.43310760241062	7.21914921789115	14.5145122480112	0.000139083962984155	0.000778399718417874
B3GNT6	-2.40667188586928	3.47995713602695	7.1380426578624	0.00754654853818784	0.0220986983299678
B3GNTL1	1.19835107328566	1.79253976767024	17.0575045342068	3.62647768757156e-05	0.000247374679944365
B4GALNT1	2.34525421112235	3.86523239347082	9.91776035415373	0.00163691449385608	0.0062205570602007
B4GALNT2	-3.6036681588848	1.10073643863285	13.0329147125842	0.000306063828680512	0.00152870220242085
B4GALNT3	-1.97746320801835	6.08004758908883	40.2083958913893	2.28265116106406e-10	5.12957058876807e-09
BAAT	6.65533869884296	1.59912314365694	12.3047135718395	0.0004518158278218	0.00211764670575402
BAIAP2L2	2.21703406543872	5.49523913559928	12.6960837879011	0.000366422165847921	0.00178176480057424
BAMBI	3.1313140482276	4.5613098860158	21.1202456121136	4.31346783672455e-06	3.78852423934215e-05
BANF1	1.12678941899321	6.75330078546618	21.9905362504869	2.73998178342473e-06	2.55397175249364e-05
BARX1	-2.83501534249478	3.01023409118281	19.4345322285674	1.04107553025465e-05	8.2119640753579e-05
